rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,263447,2025-11-22T14:30:00.000Z,Bayern vs Freiburg,Bayern -2.5,120,3,92,"Bayern at home against mid-table Freiburg with massive -537 ML. Strong home advantage and quality gap justifies -2.5 spread at plus money",3-0,1,0,0,0,0,0,-537,1225,650,3.5,-113,-114,-2.5,120,2.5,-175,2025-11-21T23:45:00Z
2,263432,2025-11-22T15:00:00.000Z,Liverpool vs Nottingham,Liverpool -1.5,105,3,90,"Liverpool heavy favorites (-235 ML) at Anfield against struggling Nottingham. Home dominance should cover 1.5 goals",3-1,1,0,0,0,0,0,-235,600,385,3.5,130,-172,-1.5,105,1.5,-145,2025-11-21T23:45:00Z
3,263498,2025-11-22T15:15:00.000Z,Barcelona vs Athletic,Barcelona -1.5,108,3,88,"Barcelona strong home favorite (-238 ML) against Athletic. Camp Nou advantage and quality difference should produce multi-goal win",2-0,1,0,0,0,0,0,-238,570,400,3.5,128,-163,-1.5,108,1.5,-152,2025-11-21T23:45:00Z
4,263446,2025-11-22T14:30:00.000Z,Dortmund vs Stuttgart,Dortmund -0.5,-143,2,85,"Dortmund solid home favorite (-133 ML) against Stuttgart. Home field advantage crucial in tight Bundesliga matchup",2-1,1,0,0,0,0,0,-133,310,310,3.5,122,-163,-0.5,-143,0.5,-105,2025-11-21T23:45:00Z
5,263515,2025-11-22T20:05:00.000Z,PSG vs Le Havre,PSG -2.5,134,2,83,"PSG massive favorite (-550 ML) at home against promoted Le Havre. Huge quality gap should result in comfortable win",4-1,1,0,0,0,0,0,-550,1350,650,3.5,112,-154,-2.5,134,2.5,-172,2025-11-21T23:45:00Z
6,263438,2025-11-22T15:00:00.000Z,Bournemouth vs West Ham,Bournemouth -0.5,-175,2,82,"Bournemouth strong home favorite (-160 ML) against inconsistent West Ham. Home form should prevail",2-1,1,0,0,0,0,0,-160,400,310,2.5,-157,121,-0.5,-175,0.5,125,2025-11-21T23:45:00Z
7,263523,2025-11-22T16:00:00.000Z,Lens vs Strasbourg,Lens -0.5,-105,2,80,"Lens solid home favorite with good value at -105. Strasbourg struggles away from home",2-1,1,0,0,0,0,0,105,250,275,2.5,-160,125,-0.5,-105,0.5,-135,2025-11-21T23:45:00Z
8,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,1,78,"Augsburg home favorite getting plus money on spread. Good value against HSV",2-1,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21T23:45:00Z
9,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,1,75,"Valencia strong home favorite (105 ML) in derby match. Should control game at Mestalla",2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21T23:45:00Z
10,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,1,72,"West Brom slight home favorite with reasonable odds. Brentford inconsistent away",1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21T23:45:00Z
