rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,263447,2025-11-22T14:30:00.000Z,Bayern vs Freiburg,Bayern -2.5,120,3,96,"Dominant home favorite with 100% money support on the Money Line implies a blowout.",4-1,1,0,0,0,0,0,-537,1225,650,3.5,-113,-114,-2.5,120,2.5,-175,2025-11-21T04:07:46Z
2,263432,2025-11-22T15:00:00.000Z,Liverpool vs Nottingham,Liverpool -1.5,105,3,94,"Strong Anfield advantage and 98% of ML money backing Liverpool to clear the handicap.",3-0,1,0,0,0,0,0,-235,600,385,3.5,-172,85,-1.5,105,1.5,-145,2025-11-21T04:07:46Z
3,263498,2025-11-22T15:15:00.000Z,Barcelona vs Athletic,Barcelona -1.5,108,3,93,"Barcelona's technical superiority at home aligns with 99% money support.",3-1,1,0,0,0,0,0,-238,570,400,3.5,-163,96,-1.5,108,1.5,-152,2025-11-21T04:07:46Z
4,263435,2025-11-22T12:30:00.000Z,Burnley vs Chelsea,Chelsea -1.5,125,2,88,"Significant talent gap; 98% of money is on Chelsea to win comfortably away.",0-2,0,0,1,0,0,0,550,-200,350,2.5,-129,101,1.5,-182,-1.5,125,2025-11-21T04:07:46Z
5,263515,2025-11-22T20:05:00.000Z,PSG vs Le Havre,PSG -2.5,134,2,86,"League leaders at home against weaker opposition; 100% money support suggests dominance.",4-0,1,0,0,0,0,0,-550,1350,650,3.5,-154,97,-2.5,134,2.5,-172,2025-11-21T04:07:46Z
6,263430,2025-11-22T17:30:00.000Z,Newcastle vs Man City,Man City -0.5,-110,2,85,"Value line for City (ML equivalent) with 97% public and sharp money backing.",1-2,0,0,1,0,0,0,260,-103,280,2.5,-151,96,0.5,-130,-0.5,-110,2025-11-21T04:07:46Z
7,263446,2025-11-22T14:30:00.000Z,Dortmund vs Stuttgart,Dortmund -0.5,-143,1,78,"Dortmund needs points at home; 89% money support on the ML validates the pick.",2-1,1,0,0,0,0,0,-133,310,310,3.5,-163,96,-0.5,-143,0.5,-105,2025-11-21T04:07:46Z
8,263495,2025-11-22T20:00:00.000Z,Villarreal vs Mallorca,Villarreal -1.5,115,1,77,"99% money support on Villarreal indicates high confidence in a multi-goal win.",2-0,1,0,0,0,0,0,-226,580,375,2.5,-153,90,-1.5,115,1.5,-165,2025-11-21T04:07:46Z
9,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,1,75,"Solid home favorite with 66% money support; -0.5 line requires just a win.",2-1,1,0,0,0,0,0,-108,285,270,2.5,-150,86,-0.5,-118,0.5,-120,2025-11-21T04:07:46Z
10,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Over 2.5,-167,1,74,"Heavy juice on the Over (-167) signals market expectation for a high-scoring affair.",2-2,0,0,0,0,1,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21T04:07:46Z
1,263516,2025-11-21T19:45:00.000Z,Nice vs Marseille,Marseille ML,-102,3,92,"Strong away favorite with 83% money support. ML (-102) offers better value than the -0.5 spread (-115) for the exact same winning condition.",1-2,0,0,0,1,0,0,266,-102,270,2.5,-147,115,0.5,-125,-0.5,-115,2025-11-21T09:55:11Z
2,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion ML,-108,3,88,"Home favorite with 80% ticket support. ML price (-108) is mathematically superior to the -0.5 spread (-118).",2-1,0,1,0,0,0,0,-108,285,270,2.5,-150,86,-0.5,-118,0.5,-120,2025-11-21T09:55:11Z
3,263504,2025-11-22T13:00:00.000Z,Alaves vs Celta Vigo,Under 2.5,-168,2,85,"Massive sharp signal: 88% of tickets are on the Over, but the line is heavily juiced to the Under (-168), indicating smart money is fading the public.",0-1,0,0,0,0,0,1,155,200,207,2.5,130,-168,-0.5,135,0.5,-200,2025-11-21T09:55:11Z
4,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Over 2.5,-167,2,82,"Market consensus is overwhelming (90% tickets) with heavy juice (-167) confirming the expectation of a high-scoring match.",2-2,0,0,0,0,1,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21T09:55:11Z
5,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia ML,105,2,80,"Solid home favorite backed by 88% of tickets. Getting plus money (+105) on a team expected to win is high value.",1-0,0,1,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21T09:55:11Z
6,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg ML,130,1,76,"Home favorite with 76% money support. The +130 ML is significantly better value than the +115 spread.",2-1,0,1,0,0,0,0,130,195,255,2.5,-146,89,-0.5,115,0.5,-165,2025-11-21T09:55:11Z
7,263512,2025-11-22T14:00:00.000Z,Udinese vs Bologna,Bologna ML,105,1,72,"Bologna is the favorite on the road; taking the ML at +105 avoids the heavy juice on the spread.",1-2,0,0,0,1,0,0,280,105,220,2.5,125,78,0.5,-135,-0.5,-105,2025-11-21T09:55:11Z
1,265708,2025-11-26T17:45:00.000Z,Copenhagen vs Kairat Almaty,Copenhagen -1.5,-115,3,96,"Copenhagen is a massive home favorite (-295 ML) against a much weaker opponent. 98% of the money backs them, and the -1.5 spread at -115 is excellent value for a likely blowout.",3-0,1,0,0,0,0,0,-295,750,420,3.5,-165,88,-1.5,-115,1.5,-120,2025-11-23T07:36:57Z
2,265700,2025-11-25T20:00:00.000Z,Napoli vs Qarabag,Napoli -1.5,-130,3,95,"Similar to the Copenhagen pick, Napoli is a dominant home favorite (-350 ML) with 97% ticket support. The talent gap suggests a multi-goal victory.",3-0,1,0,0,0,0,0,-350,875,475,3.0,-106,89,-1.5,-130,1.5,-107,2025-11-23T07:36:57Z
3,263502,2025-11-23T20:00:00.000Z,Elche vs Real Madrid,Real Madrid -1.5,-105,3,93,"Real Madrid is the heavy away favorite (-250 ML) with 100% money support. Getting the -1.5 spread at near even money (-105) is high value given the mismatch.",0-3,0,0,1,0,0,0,575,-250,425,3.5,113,-149,1.5,-143,-1.5,-105,2025-11-23T07:36:57Z
4,263509,2025-11-23T17:00:00.000Z,Lazio vs Lecce,Lazio ML,-135,2,88,"Lazio is a strong home favorite with 97% ticket support. The ML at -135 is significantly cheaper than the -0.5 spread (-145) for the exact same winning outcome.",2-0,0,1,0,0,0,0,-135,433,240,2.5,133,-172,-0.5,-145,0.5,105,2025-11-23T07:36:57Z
5,272227,2025-11-24T20:00:00.000Z,Man U vs Everton,Man U ML,-135,2,87,"Man U is backed by 95% of tickets at Old Trafford. The ML (-135) provides better ROI than the -0.5 spread (-150).",2-0,0,1,0,0,0,0,-135,360,280,2.5,-140,95,-0.5,-150,0.5,105,2025-11-23T07:36:57Z
6,263518,2025-11-23T19:45:00.000Z,Lille vs Paris FC,Lille ML,-155,2,85,"Lille has 97% ticket support. A clear pricing anomaly exists where the ML (-155) offers much better value than the -0.5 spread (-175).",2-0,0,1,0,0,0,0,-155,400,310,2.5,-147,111,-0.5,-175,0.5,120,2025-11-23T07:36:57Z
7,263510,2025-11-24T19:45:00.000Z,Sassuolo vs Pisa,Sassuolo ML,105,2,82,"Sassuolo is the home favorite with 91% backing. The ML at +105 is mathematically superior to the -0.5 spread at -105.",1-0,0,1,0,0,0,0,105,280,220,2.5,125,-160,-0.5,-105,0.5,-135,2025-11-23T07:36:57Z
8,263497,2025-11-23T17:30:00.000Z,Getafe vs Atlético,Atlético ML,-130,1,78,"Atlético is the road favorite with 97% support. Taking the ML (-130) avoids the heavier juice on the -0.5 spread (-143).",0-1,0,0,0,1,0,0,420,-130,240,2.5,140,-189,0.5,100,-0.5,-143,2025-11-23T07:36:57Z
9,263520,2025-11-23T16:15:00.000Z,Toulouse vs Angers,Toulouse ML,-145,1,77,"Toulouse has 95% ticket support at home. ML (-145) is a safer play than the juiced spread (-160).",2-1,0,1,0,0,0,0,-145,433,270,2.5,105,-136,-0.5,-160,0.5,115,2025-11-23T07:36:57Z
10,263519,2025-11-23T16:15:00.000Z,Brest vs Metz,Brest ML,-125,1,75,"Brest is the home favorite with 92% backing. The ML (-125) offers a 10-cent discount compared to the spread (-135).",1-0,0,1,0,0,0,0,-125,330,280,2.5,-134,101,-0.5,-135,0.5,-105,2025-11-23T07:36:57Z
