rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,261802,2025-11-18T00:00:00.000Z,Pistons vs Pacers,Pistons -11.5,-105,3,90,"Fits the strongest historical trend: heavy home favorites (-8.5+) cover at a high rate. The reduced juice at -105 provides excellent value.",124-106,1,0,0,0,0,0,-550,410,N/A,232.5,-115,-109,-11.5,-105,11.5,-115,2025-11-17T23:21:57.000Z
2,261808,2025-11-18T02:00:00.000Z,Nuggets vs Bulls,Nuggets -13.5,-110,2,88,"Aligns with the profitable pattern of large home favorites covering. This has been a consistent winner in the historical data.",128-110,1,0,0,0,0,0,-850,575,N/A,241.5,-105,-110,-13.5,-110,13.5,-110,2025-11-17T23:21:57.000Z
3,261806,2025-11-18T01:00:00.000Z,Timberwolves vs Mavericks,Timberwolves -14.5,-105,2,87,"Prime example of the ""heavy home favorite"" strategy. A massive spread at reduced -105 juice is a strong signal based on past results.",127-110,1,0,0,0,0,0,-900,600,N/A,231.5,-115,-110,-14.5,-105,14.5,-115,2025-11-17T23:21:57.000Z
4,261805,2025-11-18T00:30:00.000Z,Raptors vs Hornets,Raptors -8.5,-105,2,86,"A mid-large home favorite at advantageous -105 odds. This spread band (-8.5) has been profitable in the provided history.",125-112,1,0,0,0,0,0,-355,280,N/A,239.5,-112,-110,-8.5,-105,8.5,-115,2025-11-17T23:21:57.000Z
5,261803,2025-11-18T00:00:00.000Z,76ers vs Clippers,76ers -5.5,-112,2,85,"The historical data shows that mid-range home favorites (-5.5) have been a reliable bet, including a previous 76ers win on this exact line.",118-110,1,0,0,0,0,0,-214,180,N/A,220.5,-111,-110,-5.5,-112,5.5,-109,2025-11-17T23:21:57.000Z
6,261801,2025-11-18T00:00:00.000Z,Cavaliers vs Bucks,Cavaliers -5.5,-115,2,84,"Follows the same profitable trend of backing stable, mid-range home favorites, which have consistently outperformed the spread.",121-114,1,0,0,0,0,0,-260,207,N/A,235.5,-105,-110,-5.5,-115,5.5,-105,2025-11-17T23:21:57.000Z
7,261807,2025-11-18T01:00:00.000Z,Pelicans vs Thunder,Pelicans +17.5,-110,2,82,"Fits two key trends: 1) Large home underdogs cover at a high rate. 2) Road favorites (even strong ones) have historically underperformed.",108-124,1,0,0,0,0,0,1000,-1800,N/A,225.5,-110,-110,17.5,-110,-17.5,-110,2025-11-17T23:21:57.000Z
8,261804,2025-11-18T00:30:00.000Z,Heat vs Knicks,Under 244.5,-110,1,79,"This is an exceptionally high total. The historical data shows that totals above 235+ have tended to disappoint and stay Under.",121-118,0,0,0,0,0,1,-120,-100,N/A,244.5,-110,-110,-1.5,-110,1.5,-110,2025-11-17T23:21:57.000Z
9,261808,2025-11-18T02:00:00.000Z,Nuggets vs Bulls,Under 241.5,-110,1,70,"Another very high total. This fits the ""Under on high totals"" trend, supported by the large spread, which can lead to a non-competitive 4th quarter.",128-110,0,0,0,0,0,1,-850,575,N/A,241.5,-105,-110,-13.5,-110,13.5,-110,2025-11-17T23:21:57.000Z
1,261821,2025-11-20T01:00:00.000Z,Timberwolves vs Wizards,Timberwolves -16.5,-115,3,94,"The Wolves just covered a -14.5 spread with ease (120-96). They face a weak Wizards team at home. The ""Heavy Home Favorite"" trend is the strongest signal in the dataset.",128-105,1,0,0,0,0,0,-1398,850,N/A,239.5,-110,-110,-16.5,-115,16.5,-105,2025-11-19T15:38:00.000Z
2,261817,2025-11-20T00:30:00.000Z,Heat vs Warriors,Heat -10.5,-110,3,92,"Fits the profitable ""Home Favorite > -10"" profile. The Heat at home laying double digits suggests a significant mismatch identified by the books, similar to the successful Pistons pick.",122-108,1,0,0,0,0,0,-415,320,N/A,233.5,-110,-110,-10.5,-110,10.5,-110,2025-11-19T15:38:00.000Z
3,261820,2025-11-20T01:00:00.000Z,Pelicans vs Nuggets,Pelicans +13.5,-115,2,88,"The Nuggets just lost outright as -13.5 favorites. The Pelicans covered +17.5 recently. Backing large home dogs against road favorites prone to underperforming is a high-value spot.",112-118,1,0,0,0,0,0,600,-950,N/A,233.5,-114,-108,13.5,-115,-13.5,-105,2025-11-19T15:38:00.000Z
4,261819,2025-11-20T01:00:00.000Z,Thunder vs Kings,Thunder -18.5,-110,2,86,"A massive number, but Thunder are an elite home team. While the Nuggets loss is a caution, the Wolves' dominance suggests elite teams can cover huge spreads against inferior competition.",130-105,1,0,0,0,0,0,-1981,1100,N/A,231.5,-115,-111,-18.5,-110,18.5,-110,2025-11-19T15:38:00.000Z
5,261818,2025-11-20T00:00:00.000Z,76ers vs Raptors,76ers +2.5,-115,2,84,"The Raptors failed to cover -8.5 recently. The 76ers catching points at home offers value, flipping the script from when they struggled as favorites.",118-116,1,0,0,0,0,0,114,-135,N/A,233.5,-114,-110,2.5,-115,-2.5,-105,2025-11-19T15:38:00.000Z
6,261815,2025-11-20T00:00:00.000Z,Cavaliers vs Rockets,Cavaliers +1.5,-108,2,82,"Home underdog in a near pick'em. In a tight spread scenario, home court advantage is often the deciding factor.",115-113,1,0,0,0,0,0,105,-125,N/A,233.5,-115,-109,1.5,-108,-1.5,-112,2025-11-19T15:38:00.000Z
7,261823,2025-11-20T03:00:00.000Z,Trail Blazers vs Bulls,Trail Blazers +4.5,-110,1,78,"Home dog value. The Bulls are favored on the road, but the Blazers getting >1 possession at home aligns with the ""fade road favorites"" approach.",120-122,1,0,0,0,0,0,147,-175,N/A,242.5,-111,-110,4.5,-110,-4.5,-110,2025-11-19T15:38:00.000Z
8,261823,2025-11-20T03:00:00.000Z,Trail Blazers vs Bulls,Under 242.5,-110,1,77,"High totals (>240) have split results, but fading extreme offensive expectations is generally safer. 242.5 is a very high bar to clear.",118-115,0,0,0,0,0,1,147,-175,N/A,242.5,-111,-110,4.5,-110,-4.5,-110,2025-11-19T15:38:00.000Z
9,261816,2025-11-20T00:00:00.000Z,Pacers vs Hornets,Pacers +1.5,-105,1,75,"Another short home underdog. The Hornets are favored on the road, creating a spot to back the home team at near even money.",116-114,1,0,0,0,0,0,105,-125,N/A,238.5,-105,-112,1.5,-105,-1.5,-115,2025-11-19T15:38:00.000Z
10,261822,2025-11-20T02:30:00.000Z,Mavericks vs Knicks,Mavericks +7.5,-110,1,72,"A solid home underdog number. The Knicks are road favorites, but giving 7.5 points on the road is a tall task.",110-114,1,0,0,0,0,0,242,-304,N/A,230.5,-115,-109,7.5,-110,-7.5,-110,2025-11-19T15:38:00.000Z
