rank,game_id,start_time,match,pick,odds,units,confidence_pct,reason,predicted_score,bet_home_spread,bet_home_ml,bet_away_spread,bet_away_ml,bet_over,bet_under,home_money_line,away_money_line,tie_money_line,total_score,over_odds,under_odds,home_spread,home_spread_odds,away_spread,away_spread_odds,timestamp
1,263447,2025-11-22T14:30:00.000Z,Bayern vs Freiburg,Bayern -2.5,120,3,92,"Bayern at home against mid-table Freiburg with massive -537 ML. Strong home advantage and quality gap justifies -2.5 spread at plus money",3-0,1,0,0,0,0,0,-537,1225,650,3.5,-113,-114,-2.5,120,2.5,-175,2025-11-21T23:45:00Z
2,263432,2025-11-22T15:00:00.000Z,Liverpool vs Nottingham,Liverpool -1.5,105,3,90,"Liverpool heavy favorites (-235 ML) at Anfield against struggling Nottingham. Home dominance should cover 1.5 goals",3-1,1,0,0,0,0,0,-235,600,385,3.5,130,-172,-1.5,105,1.5,-145,2025-11-21T23:45:00Z
3,263498,2025-11-22T15:15:00.000Z,Barcelona vs Athletic,Barcelona -1.5,108,3,88,"Barcelona strong home favorite (-238 ML) against Athletic. Camp Nou advantage and quality difference should produce multi-goal win",2-0,1,0,0,0,0,0,-238,570,400,3.5,128,-163,-1.5,108,1.5,-152,2025-11-21T23:45:00Z
4,263446,2025-11-22T14:30:00.000Z,Dortmund vs Stuttgart,Dortmund -0.5,-143,2,85,"Dortmund solid home favorite (-133 ML) against Stuttgart. Home field advantage crucial in tight Bundesliga matchup",2-1,1,0,0,0,0,0,-133,310,310,3.5,122,-163,-0.5,-143,0.5,-105,2025-11-21T23:45:00Z
5,263515,2025-11-22T20:05:00.000Z,PSG vs Le Havre,PSG -2.5,134,2,83,"PSG massive favorite (-550 ML) at home against promoted Le Havre. Huge quality gap should result in comfortable win",4-1,1,0,0,0,0,0,-550,1350,650,3.5,112,-154,-2.5,134,2.5,-172,2025-11-21T23:45:00Z
6,263438,2025-11-22T15:00:00.000Z,Bournemouth vs West Ham,Bournemouth -0.5,-175,2,82,"Bournemouth strong home favorite (-160 ML) against inconsistent West Ham. Home form should prevail",2-1,1,0,0,0,0,0,-160,400,310,2.5,-157,121,-0.5,-175,0.5,125,2025-11-21T23:45:00Z
7,263523,2025-11-22T16:00:00.000Z,Lens vs Strasbourg,Lens -0.5,-105,2,80,"Lens solid home favorite with good value at -105. Strasbourg struggles away from home",2-1,1,0,0,0,0,0,105,250,275,2.5,-160,125,-0.5,-105,0.5,-135,2025-11-21T23:45:00Z
8,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,1,78,"Augsburg home favorite getting plus money on spread. Good value against HSV",2-1,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21T23:45:00Z
9,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,1,75,"Valencia strong home favorite (105 ML) in derby match. Should control game at Mestalla",2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21T23:45:00Z
10,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,1,72,"West Brom slight home favorite with reasonable odds. Brentford inconsistent away",1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21T23:45:00Z
1,263496,2025-11-21T20:00:00.000Z,Valencia vs Levante,Valencia -0.5,-102,3,92,"Valencia strong home favorite (105 ML) with excellent home support. Levante struggling away, should control derby match",2-0,1,0,0,0,0,0,105,255,240,2.5,-110,-115,-0.5,-102,0.5,-135,2025-11-21T19:15:00Z
2,263442,2025-11-22T14:30:00.000Z,Augsburg vs HSV,Augsburg -0.5,115,3,90,"Augsburg home favorite getting plus money on spread. Strong value against HSV with home advantage",2-1,1,0,0,0,0,0,130,195,255,2.5,-146,115,-0.5,115,0.5,-165,2025-11-21T19:15:00Z
3,263436,2025-11-22T15:00:00.000Z,Albion vs Brentford,Albion -0.5,-118,2,85,"West Brom slight home favorite with reasonable odds. Brentford inconsistent away from home",1-0,1,0,0,0,0,0,-108,285,270,2.5,-150,111,-0.5,-118,0.5,-120,2025-11-21T19:15:00Z
4,263504,2025-11-22T13:00:00.000Z,Alaves vs Celta Vigo,Alaves -0.5,135,2,82,"Alaves home favorite getting excellent plus money value. Celta Vigo poor away record justifies risk",2-1,1,0,0,0,0,0,155,200,207,2.5,130,-168,-0.5,135,0.5,-200,2025-11-21T19:15:00Z
5,263512,2025-11-22T14:00:00.000Z,Udinese vs Bologna,Bologna -0.5,-105,1,78,"Bologna strong away favorite (105 ML) with better form. Udinese struggling at home",1-2,0,0,1,0,0,0,280,105,220,2.5,125,-163,0.5,-135,-0.5,-105,2025-11-21T19:15:00Z
6,263445,2025-11-21T19:30:00.000Z,Mainz vs HOFF,Mainz -0.5,130,1,75,"Mainz home favorite with plus money value. Hoffenheim inconsistent on the road",2-1,1,0,0,0,0,0,150,170,260,2.5,-167,130,-0.5,130,0.5,-190,2025-11-21T19:15:00Z
1,265703,2025-11-25T20:00:00.000Z,Man City vs Leverkusen,Man City -1.5,-165,3,92,"Man City massive home favorite (-450 ML) in Champions League. Historical success with strong home favorites covering spreads",3-1,1,0,0,0,0,0,-450,1000,550,3.5,-110,-115,-1.5,-165,1.5,128,2025-11-23T18:30:00Z
2,265699,2025-11-25T17:45:00.000Z,Galatasaray vs Union Saint-Gilloise,Galatasaray -0.5,-185,3,90,"Galatasaray strong home favorite (-172 ML) in European competition. Home advantage crucial",2-0,1,0,0,0,0,0,-172,410,350,3.5,126,-173,-0.5,-185,0.5,130,2025-11-23T18:30:00Z
3,265708,2025-11-26T17:45:00.000Z,Copenhagen vs Kairat Almaty,Copenhagen -1.5,-115,3,88,"Copenhagen heavy home favorite (-295 ML) against weaker opposition. Should win comfortably",3-0,1,0,0,0,0,0,-295,750,420,3.5,122,-165,-1.5,-115,1.5,-120,2025-11-23T18:30:00Z
4,263437,2025-11-23T16:30:00.000Z,Arsenal vs Tottenham,Arsenal -1.5,115,2,85,"Arsenal strong home favorite (-225 ML) in North London derby. Plus money value on home spread",2-0,1,0,0,0,0,0,-225,650,350,2.5,-110,-115,-1.5,115,1.5,-165,2025-11-23T18:30:00Z
5,263509,2025-11-23T17:00:00.000Z,Lazio vs Lecce,Lazio -0.5,-145,2,82,"Lazio solid home favorite (-135 ML) against struggling Lecce. Home form should prevail",2-1,1,0,0,0,0,0,-135,433,240,2.5,133,-172,-0.5,-145,0.5,105,2025-11-23T18:30:00Z
6,263510,2025-11-24T19:45:00.000Z,Sassuolo vs Pisa,Sassuolo -0.5,-105,2,80,"Sassuolo home favorite with excellent value at near-even money. Historical success with similar picks",2-1,1,0,0,0,0,0,105,280,220,2.5,125,-160,-0.5,-105,0.5,-135,2025-11-23T18:30:00Z
7,263501,2025-11-24T20:00:00.000Z,Espanyol vs Sevilla,Espanyol -0.5,-105,1,78,"Espanyol home favorite with good value. Sevilla inconsistent away from home",2-1,1,0,0,0,0,0,101,282,235,2.5,116,-147,-0.5,-105,0.5,-135,2025-11-23T18:30:00Z
